Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_C6 HSC SC2_Vi1.csv;92134,70313;54879,76953;1,428215;183,95166;69,633698;63,846001;22212,48438;77,582085;45,941246;66,237877;308,314178;3,182964;84,999207;C6;SC2;Vi;1;HSC;24h
export_C6 HSC SC2_Vi3.csv;72127,61719;56679,78125;-5,051295;4662,618164;354,015076;208545,4063;6234,584473;113517,5;-3939,616211;1464,83252;2652,112061;0;113,05426;C6;SC2;Vi;3;HSC;24h
export_C7 MPP SC3_CF0.csv.1;105549,7969;57539,96484;21605,04297;108,109848;69,247459;81,332214;33,141056;24,866627;51,857964;749,135681;206,978134;4,140055;79,671082;C7;SC3;CF;0;MPP;24h
export_C7 MPP SC3_CF0.csv.2;101021,4375;68530,8125;22632,42773;129,862534;176,724457;241,695374;24,668653;-10,47109;49,096214;753,590088;276,608307;4,063655;146,413895;C7;SC3;CF;0;MPP;24h
export_C8 MPP SC3_CF1.csv.1;114787,6797;57291,51953;11955,48047;23,302366;1251,78064;181,760651;78,219223;155,350601;613,725464;718,812012;150,972839;4,22205;34,213417;C8;SC3;CF;1;MPP;24h
export_C8 MPP SC3_CF1.csv.2;107657,0625;65673,98438;11819,32715;79,02681;1419,107544;107,594925;56,788734;114,087227;512,648682;648,603333;147,690338;4,120209;46,863922;C8;SC3;CF;1;MPP;24h
export_C8 MPP SC3_CV0.csv;105503,1797;83522,58594;25717,56641;125,991028;1934,571533;548,125488;18478,24609;193,671921;1317,05896;651,570068;316,342743;6,135488;46,911987;C8;SC3;CV;0;MPP;24h
export_C8 MPP SC3_VC0.csv;159559,1563;114283,2891;10349,99121;167,264648;2212,061035;588,001831;31824,22266;430,419373;2162,052979;151,987106;686,013062;6,022922;202,564133;C8;SC3;VC;0;MPP;24h
export_C8 MPP SC3_Vi1.csv;109027,4531;79632,20313;5,054503;71,221619;841,335571;192,961182;30016,35938;149,871094;1377,071289;948,65387;239,106461;3,663546;82,260048;C8;SC3;Vi;1;MPP;24h
export_C9 ST-HSC SC3_CF0.csv;133748,2969;88158,35938;19029,76172;91,938278;70,700226;279,169098;55,066444;148,734909;1106,38623;22,493954;352,732391;4,25701;73,06073;C9;SC3;CF;0;ST-HSC;24h
export_C9 ST-HSC SC3_CV0.csv;146673,2031;117219,9141;19885,10156;157,653625;166,804443;228,799088;13053,41016;418,062775;2387,221924;161,630768;326,395355;5,949775;162,668701;C9;SC3;CV;0;ST-HSC;24h
export_C9 ST-HSC SC3_VC0.csv;126689,0234;94372,25;11032,10352;427,107544;165,750198;164,495789;42071,48047;-14,39226;53,362473;2615,08667;206,73082;6,128244;130,283401;C9;SC3;VC;0;ST-HSC;24h
export_C9 ST-HSC SC3_Vi0.csv;121394,1719;79867,41406;0,946914;83,391479;587,867065;327,332397;44198,08594;-29,144115;353,353577;5685,946777;211,089188;3,268045;66,27317;C9;SC3;Vi;0;ST-HSC;24h
export_D1 MPP SC2_CF1.csv;78499,9375;67043,01563;17288,63086;135,54631;782,289978;274,58847;48,458355;99,848328;549,052734;82,326614;263,680542;4,188285;78,08297;D1;SC2;CF;1;MPP;24h
export_D1 MPP SC2_Vi1.csv.1;103296,5859;58621,08203;1,705613;118,42733;530,874939;195,41687;22700,66992;225,705963;997,278259;94,267639;533,716309;3,244149;15,789065;D1;SC2;Vi;1;MPP;24h
export_D1 MPP SC2_Vi1.csv.2;109489,4063;72206,79688;1,787215;49,835415;752,21936;161,842346;24728,84766;141,658096;827,089294;136,539764;325,408356;3,28478;89,223007;D1;SC2;Vi;1;MPP;24h
export_D10 ST-HSC SC3_CV0.csv;125481,7266;78932,25;25276,66016;40,592113;161,074478;111,916428;16850,95703;159,014374;67,072357;2665,408936;188,075714;6,101868;7,700136;D10;SC3;CV;0;ST-HSC;24h
export_D10 ST-HSC SC3_VC0.csv;100765,2578;65165,33594;9037,633789;57,110626;123,866631;282,978729;37840,50391;183,265198;650,464539;77,618568;179,011063;6,034458;205,44426;D10;SC3;VC;0;ST-HSC;24h
export_D10 ST-HSC SC3_Vi0.csv;100130,7891;68819,01563;3,663427;183,970078;819,872314;432,400726;39391,85547;228,587845;1277,811646;1005,383484;328,083801;3,648172;102,236504;D10;SC3;Vi;0;ST-HSC;24h
export_D11 HSC SC3_VC1.csv.1;107425,6641;61472,76563;5812,853027;186,083344;112,887634;226,088577;21384,2168;103,568733;330,451782;983,031067;378,990753;5,723664;95,605034;D11;SC3;VC;1;HSC;24h
export_D11 HSC SC3_VC1.csv.2;141076,3438;114235,4922;5908,010254;161,722885;158,25856;184,067657;20939,19141;111,371643;307,379761;271,387634;248,143005;5,722192;155,236862;D11;SC3;VC;1;HSC;24h
export_D12 HSC SC3_CF1.csv.1;110881,4063;78814,41406;13698,63477;1116,940674;97,109268;40,333637;49,78931;215,205994;124,003258;11,907557;198,298111;4,125129;197,691467;D12;SC3;CF;1;HSC;24h
export_D12 HSC SC3_CF1.csv.2;90979,83594;55672,47266;12952,59961;955,363464;69,654404;116,205635;27,274714;71,945511;82,456696;3,254253;227,44191;3,923111;201,140915;D12;SC3;CF;1;HSC;24h
export_D12 HSC SC3_VC0.csv;121893,9844;80488,70313;11223,85156;985,141113;201,697083;439,0495;43689,11328;-212,29837;17,098854;7987,112305;494,573547;6,145122;97,470207;D12;SC3;VC;0;HSC;24h
export_D12 HSC SC3_Vi1.csv;108345,6484;72449,125;1,501336;283,323303;149,500549;105,291298;23334,42969;123,735405;59,577625;951,464294;512,342407;3,213429;201,999512;D12;SC3;Vi;1;HSC;24h
export_D2 MPP SC2_CF0.csv;99998,41406;59960,85547;25378,20508;44,695812;932,770996;86,476738;33,368889;54,944363;96,972908;335,639404;367,069885;4,191589;71,746307;D2;SC2;CF;0;MPP;24h
export_D2 MPP SC2_VC1.csv;165314,8906;96117,32031;4622,351563;-0,721743;175,512909;6792,908203;14299,03906;667,203369;737,198486;-9,546359;536,467163;5,529695;211,702805;D2;SC2;VC;1;MPP;24h
export_D2 MPP SC2_Vi1.csv.1;103627,875;64032,23047;1,409547;111,240944;592,946106;173,805359;43925,07422;152,107697;622,875732;83,363426;243,921448;3,388309;17,618584;D2;SC2;Vi;1;MPP;24h
export_D2 MPP SC2_Vi1.csv.2;73961,75;38395,59766;3,532385;9362,251953;308,480347;207662,8906;43635,60547;109444,875;-4153,959473;114827,7578;17552,36133;3,668406;102,486687;D2;SC2;Vi;1;MPP;24h
