FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time
170458;99386,42188;119860,375;-775,776428;6345,446777;13007,11719;16599,7832;4529,183105;173,423996;270,546814;CV;G12;SC3;HSC;24h
150183;88754,96094;94230,15625;438,040894;5425,264648;8776,189453;5263,939453;3318,840088;-100,495636;271,897888;CV;H12;SC3;HSC;24h
109747;125836,5547;96341,21094;4035,417969;3498,374023;10074,02734;4823,399414;4163,357422;340,413116;273,719086;CV;H11;SC3;HSC;24h
144472;93363,83594;92145,27344;2700,672607;5472,177246;7254,216797;-418,924988;1338,563477;133,784988;274,585907;CV;H10;SC3;ST-HSC;24h
170882;87110,38281;96110,35156;14329,08984;6446,763184;9176,3125;519,422852;571,966309;362,038116;276,170685;CV;H9;SC3;ST-HSC;24h
162017;68455,94531;61052,95313;9451,445313;2215,557129;7919,435059;784,778015;1688,586792;4491,689453;277,379578;CV;H8;SC3;MPP;24h
130503;85983,45313;47478,62109;109,524437;5835,03418;13221,33887;3484,715332;3710,092529;462,699677;278,850433;CV;H6;SC2;HSC;24h
134239;81744,67188;53394,11328;1089,472412;3187,864258;13797,74805;9451,004883;19224,34766;264,872833;280,732941;CV;H5;SC2;HSC;24h
137840;67456,34375;78580,46094;327,918121;6943,637695;7346,080566;1302,78186;7233,340332;28,818274;281,540039;CV;H4;SC2;ST-HSC;24h
132734;70066,01563;74553,5;850,152405;7261,590332;7701,771484;232,997772;1326,245117;243,080643;282,338104;CV;H3;SC2;ST-HSC;24h
