Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Culture_time
export_H1 bulk ckit+ SC2_VC0.csv.1;115881,875;78503,54688;10323,27539;57,325184;42,498745;385,02655;22718,23828;98,995506;1214,663086;170,490555;867,588257;5,91862;2,315076;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.2;133006,0313;160619,7969;9523,388672;166,00383;2036,549927;334,643463;25357,81445;2,016372;1383,651611;323,684875;543,024414;5,927608;3,560624;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.3;94432,84375;69433,85156;7532,387207;155,183914;229,795288;107,37545;26079,12305;37,436878;43,397694;1637,167969;586,200928;5,864196;27,868645;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.4;165733,1875;116858,5156;7303,133301;64,464897;47,255238;83,808662;18226,66406;91,617226;255,73233;7,513587;469,22168;5,744689;30,68782;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.5;121944,75;91753,36719;11848,32031;-31,207355;700,188965;162,674011;22520,00781;87,453697;1734,210938;327,647156;741,69104;5,958241;31,348743;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.6;125665,4297;83663,89844;10044,07324;52,178978;62,813877;93,751862;21564,46094;171,002502;1106,212402;125,844261;535,644287;5,894194;39,847229;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.7;136821,7813;110661,0938;10561,76465;35,404034;1848,150757;228,139648;25784,72852;124,617432;602,010681;754,911011;682,561646;5,964516;41,801571;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.8;126369,1484;74930,27344;10225,88867;0,30977;308,052124;57,449917;25729,32422;78,53421;1022,398804;89,151505;401,053741;5,953931;58,227253;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.9;139038,1563;77047,96094;10697,89356;111,662079;183,834808;139,564224;27669,52344;97,204735;253,913147;201,127731;484,715851;5,990114;59,367073;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.10;104032,9453;46838,34766;10823,4082;50,534729;890,514893;116,190849;24098,13477;55,949966;832,200684;204,229141;367,774292;5,951256;60,909874;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.11;115291,3672;69956,67969;9883,832031;479,196533;144,101501;40,189899;27050,00586;-98,155197;27,033686;3752,170898;255,833847;5,958854;63,606785;SC2;VC;0;24h
export_H1 bulk ckit+ SC2_VC0.csv.12;108028,4375;69922,07031;8247,266602;28,987972;744,594849;351,911926;22050,90625;114,568481;420,651764;466,033813;454,041992;5,840516;68,028152;SC2;VC;0;24h
